@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2016/10/31 19:16:37:531',1,0.030469,0.058333,1,1,0
2,'2016/10/31 19:16:37:550',1,0.030469,0.058333,1,1,0
3,'2016/10/31 19:16:37:570',1,0.030469,0.058333,1,1,0
4,'2016/10/31 19:16:37:590',1,0.030469,0.058333,1,1,0
5,'2016/10/31 19:16:37:610',1,0.030469,0.058333,1,1,0
6,'2016/10/31 19:16:37:630',1,0.030469,0.058333,1,1,0
7,'2016/10/31 19:16:37:650',1,0.030469,0.058333,1,1,0
8,'2016/10/31 19:16:37:670',1,0.030469,0.058333,1,1,0
9,'2016/10/31 19:16:37:690',1,0.030469,0.058333,1,1,0
10,'2016/10/31 19:16:37:710',1,0.030469,0.058333,1,1,0
11,'2016/10/31 19:16:37:730',1,0.030469,0.058333,1,1,0
12,'2016/10/31 19:16:37:750',1,0.030469,0.058333,1,1,0
13,'2016/10/31 19:16:37:770',1,0.030469,0.058333,1,1,0
14,'2016/10/31 19:16:37:790',1,0.030469,0.058333,1,1,0
15,'2016/10/31 19:16:37:810',1,0.030469,0.058333,1,1,0
16,'2016/10/31 19:16:37:830',1,0.030469,0.058333,1,1,0
17,'2016/10/31 19:16:37:850',1,0.030469,0.058333,1,1,0
18,'2016/10/31 19:16:37:870',1,0.032812,0.072222,1,1,0
19,'2016/10/31 19:16:37:890',1,0.039844,0.088889,1,1,0
20,'2016/10/31 19:16:37:910',1,0.053906,0.118056,1,1,0
21,'2016/10/31 19:16:37:930',1,0.069531,0.1375,1,1,0
22,'2016/10/31 19:16:37:950',1,0.088281,0.158333,1,1,0
23,'2016/10/31 19:16:37:970',1,0.108594,0.169444,1,1,0
24,'2016/10/31 19:16:37:990',1,0.13125,0.168056,1,1,0
25,'2016/10/31 19:16:38:010',1,0.136719,0.151389,1,1,0
26,'2016/10/31 19:16:38:030',1,0.136719,0.130556,1,1,0
27,'2016/10/31 19:16:38:050',1,0.13125,0.094444,1,1,0
28,'2016/10/31 19:16:38:070',1,0.117188,0.0625,1,1,0
29,'2016/10/31 19:16:38:090',1,0.086719,0.015278,1,1,0
30,'2016/10/31 19:16:38:110',1,0.069531,0.004167,1,1,0
31,'2016/10/31 19:16:38:130',1,0.057031,0.002778,1,1,0
32,'2016/10/31 19:16:38:150',1,0.047656,0.015278,1,1,0
33,'2016/10/31 19:16:38:170',1,0.039844,0.030556,1,1,0
