@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2016/10/31 13:05:16:024',2,0.063194,0.925556,0.75,0.54,0.89
2,'2016/10/31 13:05:16:042',2,0.063194,0.925556,0.75,0.54,0.89
3,'2016/10/31 13:05:16:062',2,0.063194,0.925556,0.75,0.54,0.89
4,'2016/10/31 13:05:16:082',2,0.063194,0.925556,0.75,0.54,0.89
5,'2016/10/31 13:05:16:102',2,0.063194,0.925556,0.75,0.54,0.89
6,'2016/10/31 13:05:16:122',2,0.063194,0.925556,0.75,0.54,0.89
7,'2016/10/31 13:05:16:142',2,0.063194,0.925556,0.75,0.54,0.89
8,'2016/10/31 13:05:16:162',2,0.063194,0.925556,0.75,0.54,0.89
9,'2016/10/31 13:05:16:182',2,0.063194,0.925556,0.75,0.54,0.89
10,'2016/10/31 13:05:16:202',2,0.063194,0.925556,0.75,0.54,0.89
11,'2016/10/31 13:05:16:222',2,0.063194,0.925556,0.75,0.54,0.89
12,'2016/10/31 13:05:16:242',2,0.063194,0.925556,0.75,0.54,0.89
13,'2016/10/31 13:05:16:262',2,0.063194,0.925556,0.75,0.54,0.89
14,'2016/10/31 13:05:16:282',2,0.063194,0.925556,0.75,0.54,0.89
15,'2016/10/31 13:05:16:302',2,0.063194,0.925556,0.75,0.54,0.89
16,'2016/10/31 13:05:16:322',2,0.063194,0.925556,0.75,0.54,0.89
17,'2016/10/31 13:05:16:342',2,0.063194,0.926667,0.75,0.54,0.89
18,'2016/10/31 13:05:16:362',2,0.063889,0.93,0.75,0.54,0.89
19,'2016/10/31 13:05:16:382',2,0.066667,0.936667,0.75,0.54,0.89
20,'2016/10/31 13:05:16:402',2,0.075694,0.946667,0.75,0.54,0.89
21,'2016/10/31 13:05:16:421',2,0.080556,0.947778,0.75,0.54,0.89
22,'2016/10/31 13:05:16:441',2,0.084722,0.948889,0.75,0.54,0.89
23,'2016/10/31 13:05:16:462',2,0.088889,0.948889,0.75,0.54,0.89
24,'2016/10/31 13:05:16:481',2,0.093056,0.943333,0.75,0.54,0.89
25,'2016/10/31 13:05:16:501',2,0.095833,0.932222,0.75,0.54,0.89
26,'2016/10/31 13:05:16:521',2,0.096528,0.905556,0.75,0.54,0.89
27,'2016/10/31 13:05:16:542',2,0.096528,0.896667,0.75,0.54,0.89
28,'2016/10/31 13:05:16:561',2,0.093056,0.887778,0.75,0.54,0.89
29,'2016/10/31 13:05:16:582',2,0.089583,0.885556,0.75,0.54,0.89
30,'2016/10/31 13:05:16:602',2,0.084722,0.882222,0.75,0.54,0.89
31,'2016/10/31 13:05:16:622',2,0.079861,0.882222,0.75,0.54,0.89
32,'2016/10/31 13:05:16:642',2,0.068056,0.886667,0.75,0.54,0.89
33,'2016/10/31 13:05:16:662',2,0.061111,0.895556,0.75,0.54,0.89
34,'2016/10/31 13:05:16:682',2,0.054861,0.902222,0.75,0.54,0.89
35,'2016/10/31 13:05:16:702',2,0.049306,0.91,0.75,0.54,0.89
36,'2016/10/31 13:05:16:722',2,0.045139,0.917778,0.75,0.54,0.89
37,'2016/10/31 13:05:16:742',2,0.042361,0.926667,0.75,0.54,0.89
38,'2016/10/31 13:05:16:761',2,0.041667,0.948889,0.75,0.54,0.89
39,'2016/10/31 13:05:16:781',2,0.041667,0.956667,0.75,0.54,0.89
40,'2016/10/31 13:05:16:802',2,0.045139,0.963333,0.75,0.54,0.89
41,'2016/10/31 13:05:16:822',2,0.053472,0.967778,0.75,0.54,0.89
42,'2016/10/31 13:05:16:842',2,0.063889,0.967778,0.75,0.54,0.89
43,'2016/10/31 13:05:16:862',2,0.077778,0.962222,0.75,0.54,0.89
44,'2016/10/31 13:05:16:882',2,0.097917,0.938889,0.75,0.54,0.89
45,'2016/10/31 13:05:16:902',2,0.102083,0.926667,0.75,0.54,0.89
46,'2016/10/31 13:05:16:922',2,0.104167,0.911111,0.75,0.54,0.89
47,'2016/10/31 13:05:16:942',2,0.104167,0.894444,0.75,0.54,0.89
48,'2016/10/31 13:05:16:962',2,0.100694,0.883333,0.75,0.54,0.89
49,'2016/10/31 13:05:16:982',2,0.094444,0.873333,0.75,0.54,0.89
50,'2016/10/31 13:05:17:002',2,0.08125,0.866667,0.75,0.54,0.89
51,'2016/10/31 13:05:17:022',2,0.075694,0.866667,0.75,0.54,0.89
52,'2016/10/31 13:05:17:042',2,0.070139,0.873333,0.75,0.54,0.89
53,'2016/10/31 13:05:17:061',2,0.065972,0.882222,0.75,0.54,0.89
54,'2016/10/31 13:05:17:082',2,0.061111,0.891111,0.75,0.54,0.89
55,'2016/10/31 13:05:17:101',2,0.057639,0.9,0.75,0.54,0.89
56,'2016/10/31 13:05:17:121',2,0.053472,0.924444,0.75,0.54,0.89
57,'2016/10/31 13:05:17:142',2,0.053472,0.935556,0.75,0.54,0.89
58,'2016/10/31 13:05:17:162',2,0.053472,0.945556,0.75,0.54,0.89
59,'2016/10/31 13:05:17:182',2,0.056944,0.952222,0.75,0.54,0.89
60,'2016/10/31 13:05:17:203',2,0.061111,0.955556,0.75,0.54,0.89
61,'2016/10/31 13:05:17:221',2,0.065972,0.956667,0.75,0.54,0.89
62,'2016/10/31 13:05:17:242',2,0.077083,0.95,0.75,0.54,0.89
63,'2016/10/31 13:05:17:262',2,0.08125,0.94,0.75,0.54,0.89
64,'2016/10/31 13:05:17:282',2,0.084028,0.925556,0.75,0.54,0.89
65,'2016/10/31 13:05:17:302',2,0.084722,0.913333,0.75,0.54,0.89
66,'2016/10/31 13:05:17:321',2,0.084722,0.901111,0.75,0.54,0.89
67,'2016/10/31 13:05:17:342',2,0.082639,0.89,0.75,0.54,0.89
68,'2016/10/31 13:05:17:362',2,0.073611,0.88,0.75,0.54,0.89
69,'2016/10/31 13:05:17:382',2,0.06875,0.878889,0.75,0.54,0.89
70,'2016/10/31 13:05:17:402',2,0.064583,0.88,0.75,0.54,0.89
71,'2016/10/31 13:05:17:422',2,0.059722,0.886667,0.75,0.54,0.89
72,'2016/10/31 13:05:17:442',2,0.054167,0.896667,0.75,0.54,0.89
73,'2016/10/31 13:05:17:462',2,0.05,0.905556,0.75,0.54,0.89
74,'2016/10/31 13:05:17:482',2,0.046528,0.921111,0.75,0.54,0.89
75,'2016/10/31 13:05:17:502',2,0.045833,0.931111,0.75,0.54,0.89
76,'2016/10/31 13:05:17:522',2,0.045833,0.936667,0.75,0.54,0.89
77,'2016/10/31 13:05:17:542',2,0.045833,0.943333,0.75,0.54,0.89
78,'2016/10/31 13:05:17:562',2,0.047222,0.948889,0.75,0.54,0.89
79,'2016/10/31 13:05:17:582',2,0.050694,0.952222,0.75,0.54,0.89
80,'2016/10/31 13:05:17:603',2,0.061806,0.953333,0.75,0.54,0.89
81,'2016/10/31 13:05:17:622',2,0.069444,0.947778,0.75,0.54,0.89
82,'2016/10/31 13:05:17:642',2,0.075,0.938889,0.75,0.54,0.89
83,'2016/10/31 13:05:17:662',2,0.078472,0.927778,0.75,0.54,0.89
84,'2016/10/31 13:05:17:682',2,0.081944,0.914444,0.75,0.54,0.89
85,'2016/10/31 13:05:17:702',2,0.084028,0.902222,0.75,0.54,0.89
86,'2016/10/31 13:05:17:722',2,0.084722,0.884444,0.75,0.54,0.89
87,'2016/10/31 13:05:17:742',2,0.082639,0.881111,0.75,0.54,0.89
88,'2016/10/31 13:05:17:762',2,0.078472,0.876667,0.75,0.54,0.89
89,'2016/10/31 13:05:17:782',2,0.075,0.875556,0.75,0.54,0.89
90,'2016/10/31 13:05:17:803',2,0.070833,0.875556,0.75,0.54,0.89
91,'2016/10/31 13:05:17:822',2,0.066667,0.875556,0.75,0.54,0.89
92,'2016/10/31 13:05:17:842',2,0.061111,0.876667,0.75,0.54,0.89
93,'2016/10/31 13:05:17:862',2,0.054167,0.885556,0.75,0.54,0.89
94,'2016/10/31 13:05:17:882',2,0.051389,0.892222,0.75,0.54,0.89
95,'2016/10/31 13:05:17:902',2,0.05,0.901111,0.75,0.54,0.89
96,'2016/10/31 13:05:17:922',2,0.048611,0.912222,0.75,0.54,0.89
97,'2016/10/31 13:05:17:942',2,0.048611,0.922222,0.75,0.54,0.89
98,'2016/10/31 13:05:17:962',2,0.053472,0.933333,0.75,0.54,0.89
99,'2016/10/31 13:05:17:982',2,0.056944,0.936667,0.75,0.54,0.89
100,'2016/10/31 13:05:18:002',2,0.061111,0.936667,0.75,0.54,0.89
101,'2016/10/31 13:05:18:022',2,0.065278,0.934444,0.75,0.54,0.89
102,'2016/10/31 13:05:18:042',2,0.069444,0.925556,0.75,0.54,0.89
103,'2016/10/31 13:05:18:062',2,0.072917,0.91,0.75,0.54,0.89
104,'2016/10/31 13:05:18:082',2,0.075,0.882222,0.75,0.54,0.89
105,'2016/10/31 13:05:18:104',2,0.075,0.874444,0.75,0.54,0.89
106,'2016/10/31 13:05:18:122',2,0.075,0.868889,0.75,0.54,0.89
107,'2016/10/31 13:05:18:141',2,0.073611,0.867778,0.75,0.54,0.89
108,'2016/10/31 13:05:18:163',2,0.072917,0.867778,0.75,0.54,0.89
109,'2016/10/31 13:05:18:182',2,0.072222,0.867778,0.75,0.54,0.89
110,'2016/10/31 13:05:18:202',2,0.072222,0.867778,0.75,0.54,0.89
111,'2016/10/31 13:05:18:222',2,0.072222,0.867778,0.75,0.54,0.89
112,'2016/10/31 13:05:18:242',2,0.072222,0.867778,0.75,0.54,0.89
113,'2016/10/31 13:05:35:140',3,0.069444,0.073333,0,0.89,0
114,'2016/10/31 13:05:35:163',3,0.069444,0.073333,0,0.89,0
115,'2016/10/31 13:05:35:180',3,0.069444,0.073333,0,0.89,0
116,'2016/10/31 13:05:35:200',3,0.069444,0.073333,0,0.89,0
117,'2016/10/31 13:05:35:220',3,0.069444,0.073333,0,0.89,0
118,'2016/10/31 13:05:35:240',3,0.069444,0.073333,0,0.89,0
119,'2016/10/31 13:05:35:260',3,0.069444,0.073333,0,0.89,0
120,'2016/10/31 13:05:35:280',3,0.069444,0.073333,0,0.89,0
121,'2016/10/31 13:05:35:300',3,0.069444,0.073333,0,0.89,0
122,'2016/10/31 13:05:35:320',3,0.069444,0.073333,0,0.89,0
123,'2016/10/31 13:05:35:340',3,0.069444,0.073333,0,0.89,0
124,'2016/10/31 13:05:35:360',3,0.069444,0.073333,0,0.89,0
125,'2016/10/31 13:05:35:380',3,0.069444,0.073333,0,0.89,0
126,'2016/10/31 13:05:35:400',3,0.069444,0.073333,0,0.89,0
127,'2016/10/31 13:05:35:420',3,0.069444,0.073333,0,0.89,0
128,'2016/10/31 13:05:35:440',3,0.069444,0.073333,0,0.89,0
129,'2016/10/31 13:05:35:460',3,0.073611,0.073333,0,0.89,0
130,'2016/10/31 13:05:35:480',3,0.079167,0.073333,0,0.89,0
131,'2016/10/31 13:05:35:500',3,0.081944,0.073333,0,0.89,0
132,'2016/10/31 13:05:35:520',3,0.084722,0.073333,0,0.89,0
133,'2016/10/31 13:05:35:540',3,0.086806,0.07,0,0.89,0
134,'2016/10/31 13:05:35:560',3,0.0875,0.061111,0,0.89,0
135,'2016/10/31 13:05:35:580',3,0.079861,0.037778,0,0.89,0
136,'2016/10/31 13:05:35:600',3,0.070833,0.03,0,0.89,0
137,'2016/10/31 13:05:35:620',3,0.063194,0.024444,0,0.89,0
138,'2016/10/31 13:05:35:640',3,0.052083,0.023333,0,0.89,0
139,'2016/10/31 13:05:35:660',3,0.041667,0.025556,0,0.89,0
140,'2016/10/31 13:05:35:683',3,0.025694,0.052222,0,0.89,0
141,'2016/10/31 13:05:35:700',3,0.01875,0.078889,0,0.89,0
142,'2016/10/31 13:05:35:720',3,0.01875,0.105556,0,0.89,0
143,'2016/10/31 13:05:35:740',3,0.020833,0.131111,0,0.89,0
144,'2016/10/31 13:05:35:760',3,0.030556,0.152222,0,0.89,0
145,'2016/10/31 13:05:35:780',3,0.043056,0.165556,0,0.89,0
146,'2016/10/31 13:05:35:800',3,0.056944,0.174444,0,0.89,0
147,'2016/10/31 13:05:35:820',3,0.079861,0.17,0,0.89,0
148,'2016/10/31 13:05:35:840',3,0.086806,0.156667,0,0.89,0
149,'2016/10/31 13:05:35:860',3,0.090278,0.133333,0,0.89,0
150,'2016/10/31 13:05:35:880',3,0.090278,0.114444,0,0.89,0
151,'2016/10/31 13:05:35:900',3,0.084722,0.095556,0,0.89,0
152,'2016/10/31 13:05:35:920',3,0.075,0.076667,0,0.89,0
153,'2016/10/31 13:05:35:940',3,0.055556,0.054444,0,0.89,0
154,'2016/10/31 13:05:35:963',3,0.045139,0.052222,0,0.89,0
155,'2016/10/31 13:05:35:980',3,0.036111,0.052222,0,0.89,0
156,'2016/10/31 13:05:36:000',3,0.029861,0.056667,0,0.89,0
157,'2016/10/31 13:05:36:020',3,0.025,0.067778,0,0.89,0
158,'2016/10/31 13:05:36:040',3,0.022222,0.084444,0,0.89,0
159,'2016/10/31 13:05:36:060',3,0.026389,0.125556,0,0.89,0
160,'2016/10/31 13:05:36:080',3,0.038194,0.147778,0,0.89,0
161,'2016/10/31 13:05:36:100',3,0.050694,0.162222,0,0.89,0
162,'2016/10/31 13:05:36:120',3,0.065972,0.17,0,0.89,0
163,'2016/10/31 13:05:36:140',3,0.079167,0.171111,0,0.89,0
164,'2016/10/31 13:05:36:160',3,0.088889,0.17,0,0.89,0
165,'2016/10/31 13:05:36:180',3,0.097222,0.157778,0,0.89,0
166,'2016/10/31 13:05:36:200',3,0.101389,0.123333,0,0.89,0
167,'2016/10/31 13:05:36:220',3,0.097222,0.096667,0,0.89,0
168,'2016/10/31 13:05:36:240',3,0.0875,0.081111,0,0.89,0
169,'2016/10/31 13:05:36:260',3,0.075694,0.063333,0,0.89,0
170,'2016/10/31 13:05:36:280',3,0.066667,0.056667,0,0.89,0
171,'2016/10/31 13:05:36:300',3,0.055556,0.05,0,0.89,0
172,'2016/10/31 13:05:36:320',3,0.040278,0.05,0,0.89,0
173,'2016/10/31 13:05:36:340',3,0.036806,0.058889,0,0.89,0
174,'2016/10/31 13:05:36:361',3,0.034028,0.071111,0,0.89,0
175,'2016/10/31 13:05:36:380',3,0.033333,0.088889,0,0.89,0
176,'2016/10/31 13:05:36:400',3,0.033333,0.108889,0,0.89,0
177,'2016/10/31 13:05:36:420',3,0.033333,0.132222,0,0.89,0
178,'2016/10/31 13:05:36:440',3,0.047222,0.16,0,0.89,0
179,'2016/10/31 13:05:36:460',3,0.061111,0.17,0,0.89,0
180,'2016/10/31 13:05:36:480',3,0.073611,0.171111,0,0.89,0
181,'2016/10/31 13:05:36:500',3,0.090278,0.162222,0,0.89,0
182,'2016/10/31 13:05:36:520',3,0.098611,0.146667,0,0.89,0
183,'2016/10/31 13:05:36:540',3,0.10625,0.121111,0,0.89,0
184,'2016/10/31 13:05:36:560',3,0.109028,0.073333,0,0.89,0
185,'2016/10/31 13:05:36:580',3,0.1,0.055556,0,0.89,0
186,'2016/10/31 13:05:36:600',3,0.088194,0.041111,0,0.89,0
187,'2016/10/31 13:05:36:620',3,0.073611,0.03,0,0.89,0
188,'2016/10/31 13:05:36:640',3,0.059028,0.025556,0,0.89,0
189,'2016/10/31 13:05:36:660',3,0.048611,0.025556,0,0.89,0
190,'2016/10/31 13:05:36:680',3,0.025694,0.032222,0,0.89,0
191,'2016/10/31 13:05:36:700',3,0.021528,0.041111,0,0.89,0
192,'2016/10/31 13:05:36:720',3,0.017361,0.051111,0,0.89,0
193,'2016/10/31 13:05:36:740',3,0.015972,0.071111,0,0.89,0
194,'2016/10/31 13:05:36:760',3,0.015972,0.091111,0,0.89,0
195,'2016/10/31 13:05:36:780',3,0.023611,0.114444,0,0.89,0
196,'2016/10/31 13:05:36:800',3,0.050694,0.146667,0,0.89,0
197,'2016/10/31 13:05:36:820',3,0.068056,0.15,0,0.89,0
198,'2016/10/31 13:05:36:840',3,0.085417,0.146667,0,0.89,0
199,'2016/10/31 13:05:36:860',3,0.097222,0.132222,0,0.89,0
